category,term,coef,std_err,p_value,or_,ci_lo,ci_hi,n_obs,note
sast,Intercept,1.6210789449598606,0.38414370392570546,2.4432343618839636e-05,5.058545265158105,2.382549470342001,10.740125448887467,2803,
sast,C(language_grp)[T.C#],0.5085931666627281,0.34666693874717086,0.14235034423206142,1.6629500549595893,0.8429382719562621,3.2806706935636565,2803,
sast,C(language_grp)[T.C++],0.7303807284477355,0.3800500583638178,0.05463075402970454,2.0758708003076705,0.985600973709403,4.372194929304682,2803,
sast,C(language_grp)[T.Dart],1.6438490386056295,0.8231354682250827,0.04581891352700533,5.175050194918899,1.0310040842652364,25.975788969852815,2803,
sast,C(language_grp)[T.Go],0.009987592854772855,0.33529492668076644,0.9762365392540922,1.0100376353228002,0.5235208676666856,1.9486826366929044,2803,
sast,C(language_grp)[T.HTML],1.2170169436646605,0.6204290405418238,0.049812201514903495,3.377098617476093,1.0009988677764086,11.393414557494193,2803,
sast,C(language_grp)[T.Java],0.1854741750815792,0.3890085970861686,0.6335139262412076,1.2037891116181083,0.5615981811977561,2.5803292705822325,2803,
sast,C(language_grp)[T.JavaScript],1.2455154396070822,0.3894650405786503,0.0013837659218079391,3.4747253489056584,1.6195980267771355,7.454761027557706,2803,
sast,C(language_grp)[T.Kotlin],1.233592448708841,0.5662551096659799,0.029368084648512743,3.4335422310401653,1.1317361026115973,10.416926901184349,2803,
sast,C(language_grp)[T.Other],0.9067762167961045,0.35096217443920413,0.00977506141320025,2.4763265117737876,1.2447105276357247,4.926601693135494,2803,
sast,C(language_grp)[T.PHP],1.5027536523366978,0.5018875042386108,0.002751617573781678,4.494047090956303,1.680467821346774,12.018355245592742,2803,
sast,C(language_grp)[T.Python],0.6647892199950797,0.3262002965178975,0.04155207418251871,1.9440807048072584,1.0257749616566612,3.6844823943644984,2803,
sast,C(language_grp)[T.Ruby],0.5926780589821274,0.5261677410416643,0.25999406332484265,1.8088260776584928,0.6449440157203045,5.073078747095972,2803,
sast,C(language_grp)[T.Rust],1.2467470743845723,0.4016408748328479,0.0019083691149122104,3.4790075780174288,1.5833540681922025,7.644211721843041,2803,
sast,C(language_grp)[T.Swift],1.6337259146706975,0.7818996812070584,0.036668887689888754,5.122926791386026,1.1065318892058849,23.71768872267685,2803,
sast,C(language_grp)[T.TypeScript],0.8101287850810766,0.3236408885041709,0.012308573736535355,2.2481975023310365,1.19220472098385,4.239533630865382,2803,
sast,C(language_grp)[T.Unknown],1.1576667368162608,0.6663306948529205,0.08232088302187326,3.182498998680114,0.8621573995608514,11.747622744708657,2803,
sast,C(owner_type_grp)[T.Other],-2.7218190275218577,0.867017247398558,0.0016935745135325461,0.06575503535426043,0.012020501767066104,0.35969585614855326,2803,
sast,C(owner_type_grp)[T.User],0.8406580262501565,0.1309081766789412,1.347270714582163e-10,2.317891708658592,1.7933452216879338,2.995865998411295,2803,
sast,log_stars,-0.10872748321905347,0.031422932393538106,0.0005399113328821463,0.8969748248860336,0.8433988518556097,0.9539541519521446,2803,
sast,repo_age_days,-0.00017829329176014786,3.8221164421726396e-05,3.089486345331655e-06,0.9998217226015442,0.9997468266563073,0.9998966241576043,2803,
sast,log_days_since_push,0.5401496906461625,0.1375508478469933,8.604444333735335e-05,1.7162637515873689,1.3106916602780225,2.247333491378087,2803,
sca,Intercept,1.8026874728080728,0.34907255747087784,2.4144363070448594e-07,6.06592759387599,3.0603149398072267,12.023428404549744,2803,
sca,C(language_grp)[T.C#],-0.6718942859925777,0.32645558884264025,0.039575820114906034,0.5107401729028416,0.26935219445177144,0.9684551660986436,2803,
sca,C(language_grp)[T.C++],-0.31966323417810316,0.35826964002584233,0.37226321371131865,0.726393620432327,0.35992527972908,1.4659923087423874,2803,
sca,C(language_grp)[T.Dart],-1.6090445175670203,0.48538933565336956,0.0009165739723666819,0.20007869445139775,0.07727458712359922,0.5180420299023558,2803,
sca,C(language_grp)[T.Go],-1.4789756075728682,0.32444485404797563,5.1524996845920704e-06,0.22787099818791862,0.12064826873738507,0.4303848895518252,2803,
sca,C(language_grp)[T.HTML],-0.5710968945062432,0.4744939434665174,0.22874749228486047,0.5649054570420862,0.22288754113143353,1.4317452369746808,2803,
sca,C(language_grp)[T.Java],-0.8037713668988375,0.3705965196400348,0.030093437450123606,0.44763757117169717,0.21650812612286005,0.9255051933283492,2803,
sca,C(language_grp)[T.JavaScript],-0.13207679936955563,0.3445127782926569,0.7014434306002374,0.8762736952277617,0.44605659649727114,1.7214308564828356,2803,
sca,C(language_grp)[T.Kotlin],-0.5394318272406196,0.4451853758622958,0.22562663073297684,0.5830794481358603,0.24366056960007412,1.39530841365281,2803,
sca,C(language_grp)[T.Other],-0.20517517495073967,0.3275805048549341,0.5310951550466041,0.8145046231064031,0.42860429863902677,1.5478561068292935,2803,
sca,C(language_grp)[T.PHP],-0.25880738286355087,0.40806230149381495,0.5259274867038269,0.7719717037030094,0.34694299320616273,1.717689427334834,2803,
sca,C(language_grp)[T.Python],-0.5864071386583959,0.3109675984565254,0.059328656000347965,0.5563224879043132,0.3024339319954361,1.0233465157365844,2803,
sca,C(language_grp)[T.Ruby],-0.6587242704030928,0.484568252774816,0.17401844134748623,0.5175111177993755,0.2001955592544503,1.3377807082401885,2803,
sca,C(language_grp)[T.Rust],-1.095408077564105,0.3406434988029166,0.0013012574987490584,0.3344031166919072,0.17151971430180354,0.6519684626835076,2803,
sca,C(language_grp)[T.Swift],-0.1635518237365114,0.5045538910347496,0.7458234539666271,0.8491224931609688,0.31585902813693423,2.2826924170719627,2803,
sca,C(language_grp)[T.TypeScript],-0.4713143335863864,0.30902122213708766,0.12721312151280434,0.6241813464106999,0.3406210195241291,1.1438000912315256,2803,
sca,C(language_grp)[T.Unknown],0.5693862407042308,0.6146261010222839,0.3542410003550289,1.767182094078905,0.5297983686881502,5.894568081373849,2803,
sca,C(owner_type_grp)[T.Other],-4.10387853053873,0.8441690952543982,1.1653411956294771e-06,0.016508522264479384,0.0031560956973653493,0.08635077433942058,2803,
sca,C(owner_type_grp)[T.User],0.7037101485287276,0.09717044635480647,4.420562568051635e-13,2.0212379061284427,1.6707281900090958,2.4452826603400095,2803,
sca,log_stars,-0.10579083288112345,0.026019650969723526,4.786690132810774e-05,0.8996127978148921,0.8548849233540907,0.9466808501161588,2803,
sca,repo_age_days,-0.00010631488005038094,3.23449219411865e-05,0.0010129283781172046,0.9998936907711762,0.9998303046377492,0.999957080923087,2803,
sca,log_days_since_push,0.7513716388957148,0.13778036209908395,4.941531208579997e-08,2.1199057685433025,1.618220504363175,2.7771249068875883,2803,
secrets,Intercept,29.254862242975346,,,5072537203520.105,,,2803,
secrets,C(language_grp)[T.C#],0.07027510698435392,,,1.072803276335154,,,2803,
secrets,C(language_grp)[T.C++],0.13418967208703578,,,1.1436097099154154,,,2803,
secrets,C(language_grp)[T.Dart],-25.14879559841871,,,1.1967869504963137e-11,,,2803,
secrets,C(language_grp)[T.Go],-23.902693935738675,,,4.160944480958882e-11,,,2803,
secrets,C(language_grp)[T.HTML],-25.210535692258155,,,1.1251319646367057e-11,,,2803,
secrets,C(language_grp)[T.Java],-24.762640906308977,,,1.7608473052236722e-11,,,2803,
secrets,C(language_grp)[T.JavaScript],-24.566304954267245,,,2.1428378928443803e-11,,,2803,
secrets,C(language_grp)[T.Kotlin],-0.14442174414412348,,,0.8655226419680825,,,2803,
secrets,C(language_grp)[T.Other],-22.920483359200322,,,1.1111189501191064e-10,,,2803,
secrets,C(language_grp)[T.PHP],-24.5372866093344,,,2.2059304961428942e-11,,,2803,
secrets,C(language_grp)[T.Python],-24.313067119312663,,,2.7603815243113554e-11,,,2803,
secrets,C(language_grp)[T.Ruby],-0.3732645494849484,,,0.6884830709077906,,,2803,
secrets,C(language_grp)[T.Rust],-23.091948998877726,,,9.360390634340929e-11,,,2803,
secrets,C(language_grp)[T.Swift],-0.20337974790046354,,,0.8159683203269021,,,2803,
secrets,C(language_grp)[T.TypeScript],-23.1255653654563,,,9.050958443634213e-11,,,2803,
secrets,C(language_grp)[T.Unknown],-0.4661943751721477,,,0.6273853240643604,,,2803,
secrets,C(owner_type_grp)[T.Other],-125.23701290315722,,,4.0762082732479506e-55,,,2803,
secrets,C(owner_type_grp)[T.User],0.8038753719687463,,,2.2341824611835825,,,2803,
secrets,log_stars,-0.2191996797778278,,,0.8031613270653827,,,2803,
secrets,repo_age_days,0.00021243285658845013,,,1.0002124554220455,,,2803,
secrets,log_days_since_push,25.296559742426112,,,96862641263.36876,,,2803,
fuzzing,Intercept,5.7401255505150885,,,311.10346773016346,,,2803,
fuzzing,C(language_grp)[T.C#],26.11271306828671,,,219082250275.29697,,,2803,
fuzzing,C(language_grp)[T.C++],1.5147528041674723,,,4.548296667889185,,,2803,
fuzzing,C(language_grp)[T.Dart],25.40193373912254,,,107626607867.97403,,,2803,
fuzzing,C(language_grp)[T.Go],2.7804316326520535,,,16.125979945545083,,,2803,
fuzzing,C(language_grp)[T.HTML],25.710115115362854,,,146474196291.7693,,,2803,
fuzzing,C(language_grp)[T.Java],26.293273654830543,,,262436150927.67892,,,2803,
fuzzing,C(language_grp)[T.JavaScript],25.799107536117347,,,160106897123.39966,,,2803,
fuzzing,C(language_grp)[T.Kotlin],25.777409776042166,,,156670353556.0775,,,2803,
fuzzing,C(language_grp)[T.Other],25.822260155045438,,,163857036354.126,,,2803,
fuzzing,C(language_grp)[T.PHP],26.074535668910862,,,210875904887.29935,,,2803,
fuzzing,C(language_grp)[T.Python],25.633756470034832,,,135705979921.5544,,,2803,
fuzzing,C(language_grp)[T.Ruby],26.17305281078236,,,232708587609.3517,,,2803,
fuzzing,C(language_grp)[T.Rust],1.3873545578967978,,,4.004243035936704,,,2803,
fuzzing,C(language_grp)[T.Swift],25.330268678508848,,,100183433591.39099,,,2803,
fuzzing,C(language_grp)[T.TypeScript],25.73296230443181,,,149859242092.3445,,,2803,
fuzzing,C(language_grp)[T.Unknown],25.049344117483553,,,75647037626.90828,,,2803,
fuzzing,C(owner_type_grp)[T.Other],-24.15615897554122,,,3.229337627737887e-11,,,2803,
fuzzing,C(owner_type_grp)[T.User],0.25410197701059295,,,1.2893032768580213,,,2803,
fuzzing,log_stars,-0.3143382097553675,,,0.7302720012734258,,,2803,
fuzzing,repo_age_days,-0.0004106217154395791,,,0.999589462578119,,,2803,
fuzzing,log_days_since_push,7.826670594351401,,,2506.5700768239053,,,2803,
ci_hardening,Intercept,3.1634497019025978,,,23.652047870372268,,,2803,
ci_hardening,C(language_grp)[T.C#],0.7879047805867895,,,2.198784660306536,,,2803,
ci_hardening,C(language_grp)[T.C++],1.1077402641848035,,,3.0275092875961676,,,2803,
ci_hardening,C(language_grp)[T.Dart],0.8811584523615549,,,2.4136942372284653,,,2803,
ci_hardening,C(language_grp)[T.Go],0.27562992083509535,,,1.3173602462244727,,,2803,
ci_hardening,C(language_grp)[T.HTML],26.022827928861854,,,200249100071.90884,,,2803,
ci_hardening,C(language_grp)[T.Java],1.6130572268980332,,,5.018129360457563,,,2803,
ci_hardening,C(language_grp)[T.JavaScript],1.5998073681922973,,,4.952078404695813,,,2803,
ci_hardening,C(language_grp)[T.Kotlin],1.4123454860261397,,,4.105573685598151,,,2803,
ci_hardening,C(language_grp)[T.Other],0.8183717395868005,,,2.2668058807067375,,,2803,
ci_hardening,C(language_grp)[T.PHP],1.9362348303588297,,,6.932599356269269,,,2803,
ci_hardening,C(language_grp)[T.Python],1.3276397972860816,,,3.7721298816821554,,,2803,
ci_hardening,C(language_grp)[T.Ruby],0.5793460430716953,,,1.7848708203691268,,,2803,
ci_hardening,C(language_grp)[T.Rust],0.5016002880705944,,,1.6513618119311626,,,2803,
ci_hardening,C(language_grp)[T.Swift],25.842171680284828,,,167152378640.37103,,,2803,
ci_hardening,C(language_grp)[T.TypeScript],1.891551636510556,,,6.629647507604449,,,2803,
ci_hardening,C(language_grp)[T.Unknown],0.07639555477917427,,,1.0793894473803478,,,2803,
ci_hardening,C(owner_type_grp)[T.Other],-156.15020343802917,,,1.5304822557347371e-68,,,2803,
ci_hardening,C(owner_type_grp)[T.User],1.2142311619558848,,,3.3677038498803955,,,2803,
ci_hardening,log_stars,-0.16523051739321082,,,0.8476982723676004,,,2803,
ci_hardening,repo_age_days,-5.384440738305717e-05,,,0.999946157042201,,,2803,
ci_hardening,log_days_since_push,26.567878234146047,,,345368649978.4486,,,2803,
