rq,variant,outcome,estimate_kind,or_or_irr,ci95_lo,ci95_hi,p_raw,deferred,deferred_reason,stratum,n_AI,n_ctrl,ai_rate,ctrl_rate,delta_vs_primary_log,primary_or_or_irr,primary_p_raw
RQ2,v1_strict_relaxed_fingerprints,sast,OR,,,,,True,requires Phase B rerun with stricter agent_fingerprints.yaml to regenerate the control cohort,,,,,,,3.1166185640893813,2.7686213925104137e-29
RQ2,v1_strict_relaxed_fingerprints,sca,OR,,,,,True,requires Phase B rerun with stricter agent_fingerprints.yaml to regenerate the control cohort,,,,,,,3.36395261225733,1.253259943463684e-58
RQ2,v1_strict_relaxed_fingerprints,secrets,OR,,,,,True,requires Phase B rerun with stricter agent_fingerprints.yaml to regenerate the control cohort,,,,,,,1.875,0.12107116596598616
RQ2,v1_strict_relaxed_fingerprints,fuzzing,OR,,,,,True,requires Phase B rerun with stricter agent_fingerprints.yaml to regenerate the control cohort,,,,,,,2.2864135625596944,0.2728074834823988
RQ2,v1_strict_relaxed_fingerprints,ci_hardening,OR,,,,,True,requires Phase B rerun with stricter agent_fingerprints.yaml to regenerate the control cohort,,,,,,,2.8657544378698225,1.5663976730241344e-06
RQ2,v4_lang_strat,sast,OR,2.794575590155701,1.7288938500581492,4.517138359206618,8.352395583642866e-06,,,TypeScript,647.0,343.0,0.160741885625966,0.0641399416909621,-0.10906837155222693,3.1166185640893813,2.7686213925104137e-29
RQ2,v4_lang_strat,sca,OR,2.2688675681801014,1.644757137892755,3.1297994842781116,3.34264564637203e-07,,,TypeScript,647.0,343.0,0.32921174652241114,0.17784256559766765,-0.3938358169127284,3.36395261225733,1.253259943463684e-58
RQ2,v4_lang_strat,secrets,OR,2.1275272161741836,0.23686413444493182,19.109571257670506,0.664081253525893,,,TypeScript,647.0,343.0,0.0061823802163833074,0.0029154518950437317,0.12635171452250238,1.875,0.12107116596598616
RQ2,v4_lang_strat,fuzzing,OR,0.5305019305019305,0.010503547182204927,26.794024283822573,1.0,,,TypeScript,647.0,343.0,0.0,0.0,-1.4609161419274757,2.2864135625596944,0.2728074834823988
RQ2,v4_lang_strat,ci_hardening,OR,1.465801886792453,0.46322839955464123,4.638263054229849,0.595797049406261,,,TypeScript,647.0,343.0,0.017001545595054096,0.011661807580174927,-0.6704291888822873,2.8657544378698225,1.5663976730241344e-06
