rq,variant,outcome,estimate_kind,or_or_irr,ci95_lo,ci95_hi,p_raw,n_obs,converged,n_prs_dropped,n_repos_fe,n_rows_fe,error,deferred,deferred_reason,stratum,delta_vs_primary_log,primary_or_or_irr,primary_p_raw
RQ3,v2_drop_dep_update_prs,any_security_intervention,OR,0.5360990259221702,0.36867119898818107,0.7795622939450533,0.0011003094422501452,6158.0,True,128.0,583.0,13147.0,,,,,-0.01211365840684231,0.5426326394804347,0.0012234814254360885
RQ3,v2_drop_dep_update_prs,security_intervention_count,IRR,0.6814521307558066,0.48349914627070284,0.9604505201166006,0.028493161556382766,13147.0,True,128.0,583.0,13147.0,,,,,-0.010255051102291468,0.6884764128065946,0.030852377160674342
RQ3,v2_drop_dep_update_prs,rejected,OR,6.731055403242714,4.5825073020264195,9.886968826320864,2.4825434070769217e-22,12480.0,True,128.0,583.0,13147.0,,,,,0.0014419048496789877,6.721356855685046,1.2153438395637745e-22
RQ3,v3_time_aligned,any_security_intervention,OR,,,,,,False,,,,,True,first_seen_at not collected in Phase C v1 — requires data-miner rerun with first_seen_at_collected=true,,,0.5426326394804347,0.0012234814254360885
RQ3,v3_time_aligned,security_intervention_count,IRR,,,,,,False,,,,,True,first_seen_at not collected in Phase C v1 — requires data-miner rerun with first_seen_at_collected=true,,,0.6884764128065946,0.030852377160674342
RQ3,v3_time_aligned,rejected,OR,,,,,,False,,,,,True,first_seen_at not collected in Phase C v1 — requires data-miner rerun with first_seen_at_collected=true,,,6.721356855685046,1.2153438395637745e-22
RQ3,v4_lang_strat,any_security_intervention,OR,0.49061491785047984,0.32446931629694487,0.7418359318671252,0.000736694743399113,2388.0,True,,163.0,4770.0,,,,TypeScript,-0.1007730135468774,0.5426326394804347,0.0012234814254360885
RQ3,v4_lang_strat,security_intervention_count,IRR,0.6260637230100304,0.40226141909014224,0.9743807550714855,0.03799051040224584,4770.0,True,,163.0,4770.0,,,,TypeScript,-0.09502889890272975,0.6884764128065946,0.030852377160674342
RQ3,v4_lang_strat,rejected,OR,5.4407235116327515,3.3967477889146585,8.714651239823667,1.8223195504867703e-12,4603.0,True,,163.0,4770.0,,,,TypeScript,-0.21137799671548918,6.721356855685046,1.2153438395637745e-22
RQ3,v4_lang_strat,any_security_intervention,OR,0.31400731113244224,0.12101302760907236,0.8147931953504343,0.017266880341181387,1586.0,True,,120.0,2780.0,,,,Python,-0.5470162827698173,0.5426326394804347,0.0012234814254360885
RQ3,v4_lang_strat,security_intervention_count,IRR,0.6138586981517633,0.2564504647988239,1.4693773380063135,0.27316754110704555,2780.0,True,,120.0,2780.0,,,,Python,-0.11471629040881842,0.6884764128065946,0.030852377160674342
RQ3,v4_lang_strat,rejected,OR,9.831242263947985,4.426175712536105,21.83675722106766,1.9843575452975365e-08,2688.0,True,,120.0,2780.0,,,,Python,0.38027525373854254,6.721356855685046,1.2153438395637745e-22
RQ3,v4_lang_strat,any_security_intervention,OR,0.8882972685994598,0.04837341508745511,16.312101098809833,0.9364211855706766,532.0,True,,58.0,1221.0,,,,C#,0.4928738966399369,0.5426326394804347,0.0012234814254360885
RQ3,v4_lang_strat,security_intervention_count,IRR,8.336495830493643,0.5346235802689959,129.99270009166145,0.1302406414748252,1221.0,True,,58.0,1221.0,,,,C#,2.4939171840817713,0.6884764128065946,0.030852377160674342
RQ3,v4_lang_strat,rejected,OR,9.286074380520121,3.9792809941366727,21.670039770403424,2.5461048239629805e-07,1164.0,True,,58.0,1221.0,,,,C#,0.32322585232731726,6.721356855685046,1.2153438395637745e-22
RQ3,v4_lang_strat,any_security_intervention,OR,0.8051564119867108,0.3115515304091013,2.080801358645408,0.6546112151985095,200.0,True,,47.0,726.0,,,,Go,0.3946040068809687,0.5426326394804347,0.0012234814254360885
RQ3,v4_lang_strat,security_intervention_count,IRR,1.726586572283801,0.8671051326333077,3.437992787030833,0.12014180516085796,726.0,True,,47.0,726.0,,,,Go,0.9194206000333873,0.6884764128065946,0.030852377160674342
RQ3,v4_lang_strat,rejected,OR,5.682376886746766,1.7590058853909118,18.356622539587494,0.0036853749608337484,671.0,True,,47.0,726.0,,,,Go,-0.16792043602459672,6.721356855685046,1.2153438395637745e-22
RQ3,v4_lang_strat,any_security_intervention,OR,1.2416595359764437,0.278170793626294,5.5423446264184175,0.7767296746883164,205.0,True,,34.0,913.0,,,,Rust,0.8277715470230099,0.5426326394804347,0.0012234814254360885
RQ3,v4_lang_strat,security_intervention_count,IRR,1.8865971695790251,0.5431939735818895,6.552445449262725,0.31767129918784587,913.0,True,,34.0,913.0,,,,Rust,1.008048987170571,0.6884764128065946,0.030852377160674342
RQ3,v4_lang_strat,rejected,OR,6.975529740630629,2.9925472063513388,16.259731862926454,6.841761692052865e-06,869.0,False,,34.0,913.0,,,,Rust,0.03711822609926729,6.721356855685046,1.2153438395637745e-22
RQ3,v5_bot_identity_only,any_security_intervention,OR,0.7233682129203256,0.394072754004705,1.327829864272469,0.296027834588811,3358.0,True,,588.0,13249.0,,,,,0.28748582506271003,0.5426326394804347,0.0012234814254360885
RQ3,v5_bot_identity_only,security_intervention_count,IRR,0.8960277004920373,0.5667010678601965,1.416735710558274,0.638593508104784,13249.0,True,,588.0,13249.0,,,,,0.2634902694568577,0.6884764128065946,0.030852377160674342
RQ3,v5_bot_identity_only,rejected,OR,6.713226790926498,4.588642218992037,9.821514033036339,1.039357906354835e-22,12577.0,True,,588.0,13249.0,,,,,-0.0012103189745007459,6.721356855685046,1.2153438395637745e-22
