repo_full_name,agentic_intervention_rate,human_intervention_rate,n_agentic_prs,n_human_prs
voideditor/void,0.0,0.0,3,1
voku/portable-utf8,1.0,1.0,4,3
wait4x/wait4x,0.0,0.0,1,1
wandb/openui,0.0,0.0,3,1
wandb/wandb,0.0,0.0,1,1
wandb/weave,0.0,0.4,8,5
web-infra-dev/rspack,0.0,0.0,5,1
wechaty/wechaty,0.0,0.0,2,1
weecology/DeepForest,0.0,0.0,2,1
wei/socialify,0.0,0.0,8,2
whitphx/stlite,0.0,0.0,10,5
whitphx/streamlit-webrtc,0.0,0.0,2,1
whoiskatrin/chart-gpt,0.0,0.0,1,1
willccbb/verifiers,0.0,0.0,10,1
wix/react-native-ui-lib,0.0,0.0,30,18
wizarrrr/wizarr,0.0,0.0,8,3
wolfSSL/wolfMQTT,1.0,0.0,1,1
wolfSSL/wolfssl,0.0,0.0,17,9
wonderwhy-er/DesktopCommanderMCP,0.0,0.0,1,1
writer/writer-framework,0.0,0.0,8,5
wvlet/airframe,0.0,0.0,22,9
xtermjs/xterm.js,0.0,0.0,6,4
yamadashy/repomix,0.1,0.19230769230769232,40,26
yegor256/cactoos,0.0,0.0,2,1
yytypescript/book,0.0,0.0,14,7
zaidmukaddam/scira,0.0,0.0,2,1
zenml-io/zenml,0.0,0.16666666666666666,11,6
zeroc-ice/ice,0.0,0.0,3,1
zoidsh/meru,0.0,0.0,1,1
